GroupID,GroupName,ParentGroupID,GroupType,LedgerName ,CreateLedger 
1,Assets,NULL,Asset,,
2,Liabilities,NULL,Liability,,
3,Equity,NULL,Equity,,
4,Income,NULL,Revenue,,
5,Expenses,NULL,Expense,,
6,Capital Account,3,Equity,,
7,Current Assets,1,Asset,,
8,Current Liabilities,2,Liability,,
9,Fixed Assets,1,Asset,,
10,Investments,1,Asset,,
11,Direct Expenses,5,Expense,,
12,Direct Income,4,Revenue,,
13,Purchase Account,5,Expense,,
14,Sales Account,4,Revenue,,
15,Suspense Account,1,Asset,,
16,Bank Accounts,7,Asset,,
17,Deposit (Assets),7,Asset,,
18,Stock in Hand,7,Asset,,
19,Sundry Debtors,7,Asset,,
20,Bank OD Account,8,Liability,,
21,Duties and Taxes,8,Liability,,
22,Provisions,8,Liability,,
23,Sundry Creditors,8,Liability,,
